img_name,segment_id,lat,long
Segment 1.png,1,14.552682,121.0136771
Segment 2.png,2,14.5525916,121.0136668
Segment 3.png,3,14.5524805,121.0136558
Segment 4.png,4,14.5523599,121.0136457
Segment 5.png,5,14.552258,121.0136374
Segment 6.png,6,14.5521605,121.0136324
Segment 7.png,7,14.5520648,121.0136271
Segment 8.png,8,14.5519727,121.0136199
Segment 9.png,9,14.5518738,121.0136589
Segment 10.png,10,14.5518007,121.0135993
Segment 11.png,11,14.5517078,121.0135859
Segment 12.png,12,14.5516236,121.0135666
Segment 13.png,13,14.5514125,121.01367
Segment 14.png,14,14.5514199,121.0135504
Segment 15.png,15,14.5513317,121.0136394
Segment 16.png,16,14.5512465,121.0136282
Segment 17.png,17,14.5511532,121.0136206
Segment 18.png,18,14.5510591,121.0136121
Segment 19.png,19,14.5509465,121.0136021
Segment 20.png,20,14.5508371,121.0135911
Segment 21.png,21,14.550741,121.0135811
Segment 22.png,22,14.5506542,121.0135735
Segment 23.png,23,14.5505615,121.0135647
Segment 24.png,24,14.5504697,121.0135564
Segment 25.png,25,14.5503843,121.0135519
Segment 26.png,26,14.5502973,121.0135547
Segment 27.png,27,14.5502065,121.0135634
Segment 28.png,28,14.5501164,121.0135776
Segment 29.png,29,14.550027,121.0135988
Segment 30.png,30,14.5499388,121.0136267
Segment 31.png,31,14.5498532,121.0136594
Segment 32.png,32,14.54977,121.0136975
Segment 33.png,33,14.5496857,121.0137356
Segment 34.png,34,14.5496018,121.0137786
Segment 35.png,35,14.5495158,121.0138233
Segment 36.png,36,14.5494314,121.0138686
Segment 37.png,37,14.5493551,121.0139118
Segment 38.png,38,14.5492771,121.0139559
Segment 39.png,39,14.5491967,121.0140007
Segment 40.png,40,14.5491163,121.0140455
Segment 41.png,41,14.5490354,121.01409
Segment 42.png,42,14.5489562,121.0141336
Segment 43.png,43,14.5488743,121.0141782
Segment 44.png,44,14.5487936,121.0142219
Segment 45.png,45,14.5487143,121.014267
Segment 46.png,46,14.5486377,121.0143123
Segment 47.png,47,14.5485588,121.0143587
Segment 48.png,48,14.5484777,121.0144068
Segment 49.png,49,14.5483957,121.014454
Segment 50.png,50,14.5483123,121.0145001
Segment 51.png,51,14.548269,121.0145233
